noun,count
函館支庁,314
慶応,76
4年,81
出仕,17
1名,87
明治30年,27
明治7年,38
明治13年,36
30年,49
明治政府,27
3年,83
昭和16年,23
明治14年,42
明治19年,33
函館県,78
北海道庁,155
昭和14年,28
昭和31年,30
函館区,206
船場町,42
明治12年,51
大正2年,69
大正5年,51
大正12年,37
昭和15年,24
昭和9年,64
函館大火,14
五稜郭,147
明治6年,64
昭和7年,43
函館放送局,10
明治15年,36
福山,107
森,22
福島,14
ペリー艦隊,10
第1巻,11
北太平洋,12
1年間,27
日本海,84
太平洋,27
オホーツク,11
帯広,11
3月,40
4月,70
5月,54
6月,57
オホーツク海,15
7月,67
東北,55
8月,65
″,16
日中,51
9月,84
昭和29年,32
10月,79
1年,57
室蘭,117
浦河,10
11月,55
5日,20
12月,81
1月,26
2月,27
1日,101
高砂町,22
7月26日,11
昭和41年,11
昭和17年,18
5年間,24
大正3年,64
第3期,10
9年,97
明治20年,21
19年,63
25年,59
13年,84
14年,76
18年,38
21年,20
21日,28
大正13年,48
12日,25
明治39年,30
昭和37年,13
昭和43年,13
昼,15
夜,85
1位,18
昭和28年,37
昭和,55
10年間,15
尻,16
石崎,19
享和元年,11
文政,28
安政4年,31
享和3年,10
23年,38
2年,110
明治元年,18
明治2年,34
明治3年,23
2万人,11
幕末,80
明治10年代,30
明治初期,32
イギリス,252
ロシア,276
フランス,93
ドイツ,45
デンマーク,11
渡道,17
15,25
明治20年代,37
明治32年,32
32年,35
亀田村,77
明治33年,37
明治44年,30
20年代,40
大正元年,29
大正6年,82
7年,77
第2位,21
大正11年,44
昭和5年,79
大正9年,57
同年9月,44
昭和11年,24
昭和12年,51
昭和19年,17
昭和22年,26
24年,37
昭和25年,47
24,10
戦前,133
昭和30年代,54
1人,154
マンモス,15
石器時代,20
蝦夷,40
松前藩,220
室町時代,13
貝殻,28
骨,56
先史時代,13
古銭,13
貞治,12
旧石器時代,30
縄文時代,62
新潟県,10
縄文土器,31
弥生時代,11
弥生文化,13
西日本,13
米,177
漁労,18
石器,42
北朝鮮,10
熊,26
古墳時代,11
擦文土器,12
中世,11
道南地方,24
明治23年,26
函館区役所,39
8年,74
12年,112
出羽,13
石鏃,10
八幡宮,34
松浦武四郎,14
北蝦夷地,18
西蝦夷地,34
アイヌ,120
明治11年,46
沢辺,14
明治時代,26
函館公園,36
日高,28
明治8年,41
顧問,10
玄武丸,13
アイヌ民族,27
函館博物館,14
2人,88
日本人,186
明治21年,36
網走,32
明治34年,25
明治41年,20
骨格,11
蝦夷地,262
5年,86
江戸,165
手,26
河野,16
大正時代,14
昭和3年,68
昭和24年,33
明治初年,51
函館中学校,26
学生,19
函館区史,21
明治24年,13
28年,45
明治36年,36
大正7年,78
第6号,11
函館図書館,14
第1回,67
2か所,20
市立函館図書館,19
函館教育会,13
山内清男,10
朝鮮,38
住吉町遺跡,13
神奈川県,15
貝殻文,16
北千島,32
顔,35
北見,20
魚類,18
日吉遺跡,15
ストーン,21
土器文化,12
東日本,12
大阪,144
新潟,39
秋田,61
大久保,10
馬,26
毛皮,22
石皿,16
3人,71
第一,79
人間,15
十勝,16
岩内,22
八雲,10
千歳,13
教育委員会,25
メンバー,34
2点,35
岩手県,22
1個,16
土器形式,49
山内,14
シカ,11
皮,27
靴,17
オットセイ,16
鹿角,17
石槍,10
関東,10
名取武光,11
昭和13年,25
宗谷,16
剥片,10
ストーンサークル,12
忍路,12
立石,11
胆振,15
3分の1,42
フィリピン,15
西桔梗,10
八木,11
4か所,13
亀田郡,22
千代,35
土器片,10
7,36
首,10
大正14年,69
様似,11
昭和6年,49
職員,49
23日,21
虻田,11
昭和49年,12
3回,14
3,150
4回,15
亀沢村,21
4人,34
5人,40
4,63
二重,19
竹,10
頭,28
鮭,45
頭部,10
装身具,13
土偶,27
3点,21
1点,12
1か所,25
4点,11
5,49
6,27
目,10
肩,10
足,20
英語,56
昭和34年,29
後志,10
近代,43
第2章,11
文学,11
3か所,23
昭和36年,14
富岡町,13
飲料水,19
昭和23年,28
12,17
沈線文,10
刀,13
宮城県,24
口,10
明治27年,21
昭和26年,34
中野ダム,10
中国大陸,14
朝,40
大森,10
富山,13
北陸,16
藩主,46
亀ヶ岡式,12
木材,40
亀ヶ岡式土器,10
榎本,36
第1号,39
第2巻,15
1基,15
2基,14
上磯郡,10
恵山式,11
江別式,10
北大式,13
江別,30
コーヒー,10
小熊,58
かかわり,22
石狩川,10
チャシ,12
漁師,16
石狩,18
15年,68
20年,46
七重浜,31
石川県,11
1枚,24
越前,12
昆布,308
豪商,16
2代,10
函館新聞,79
天皇,77
奥羽,11
氏,124
蝦夷島,12
蝦夷実地検考録,14
22年,38
安東,27
十三湊,11
小浜,12
京都,71
松前家,11
兵,15
小林,12
越後,17
1艘,12
箱館地方,17
さき,18
蠣崎,16
和人地,16
同年12月,29
大坂,73
同6年,20
知行,11
奉行,73
13日,27
15日,23
14名,17
津軽藩,11
箱館山,24
三港,13
敦賀,29
箱館港,70
近江,19
味噌,14
塩,48
大豆,18
小豆,11
鰊,51
箱館商人,13
1隻,36
1分,17
2分,25
6名,59
和賀屋,14
第1,26
11名,20
第二,53
第三,27
北前船,16
7名,36
長崎俵物,16
清国,95
オランダ,34
俵物,23
煎海鼠,24
数名,16
長崎奉行,13
下関,20
3港,23
同年10月,32
20日,24
三石,10
国後,21
渡辺,48
東蝦夷地,13
厚岸,33
砂糖,30
足軽,25
2度,22
22人,10
監督,36
2隻,54
四郎,91
総督,34
藩士,15
加藤,15
ロシア船,19
市長,288
9日,13
役人,66
幕吏,14
パン,19
早朝,16
2名,89
27日,13
16日,23
14日,24
薪水,18
家老,11
17日,18
外人,13
乗組員,42
26日,24
300人,17
8日,22
8人,17
5分,18
台場,37
鰯,10
茅部郡,14
箱館市中,13
山背,28
日持,15
弁天,14
文久2年,36
箱館夜話草,11
開港,69
高田屋,13
翌5年,11
本山,14
本願寺,16
寺川,17
同年4月,18
16年,51
キリスト教,160
安政,38
ペリー,197
翌6年,14
ニコライ,21
提督,20
万延,10
支配人,49
慶応元年,20
画家,36
同年8月,15
髪,11
3名,92
会所,45
嘉兵衛,58
寛政11年,10
国後島,14
将軍,16
吟味役,14
7人,15
14人,11
奉行所,46
翌3年,11
18日,24
29日,21
紗那,10
11,16
19日,23
30人,21
高田,18
築島,18
1か年,19
明治維新,10
半数,26
内務大臣,32
100石,17
袴,10
4名,59
蛯子,15
組頭,33
町役人,15
1両,10
5割,26
半額,15
8月15日,19
同年3月,19
11年,63
兵庫,47
浦賀,22
30日,20
塩鮭,42
鯣,45
蝦夷地産物,12
2艘,23
3艘,15
6人,30
問屋商人,16
市中商人,22
同年11月,30
連名,17
仲町,11
大黒町,10
五郎,15
小商人,11
8名,19
ゴロウニン,22
書状,15
通訳,12
士官,15
7日,26
リコルド,18
大野,21
一度,23
ロシア政府,12
日本語,20
3月25日,13
5名,54
水産物,33
8月14日,10
老中,52
長官,163
便,11
書記,35
一文,22
正月,12
芸者,15
島田,16
藤野喜兵衛,10
有力商人,20
長崎屋,19
明治25年,22
1升,22
漁夫,16
第1位,20
職人,20
仙台,38
一番,17
24日,36
同年6月,27
5月5日,10
神奈川,19
兵士,20
先生,12
教師,48
杉浦嘉七,54
4隻,30
8隻,13
琉球,11
和親条約,11
下田箱館,11
11月1日,13
9,24
日米和親条約,18
松前勘解由,16
勘解由,12
アメリカ人,56
大野村,11
4月15日,10
アメリカ船,42
木古内,12
遠藤又左衛門,10
船長,55
22日,25
ウイリアムズ,23
蛯子次郎,10
漢文,10
5月1日,20
室蘭港,11
同年7月,28
村山,11
竹内,34
安政3年,22
仙台藩,12
2か月,13
斐三郎,11
弁天岬台場,15
明治29年,33
佐藤忠兵衛,11
山田寿,11
数年,26
人夫,12
石炭,113
28日,25
2割,21
第4条,10
大統領,16
ポーター,19
組合員,58
中国人,82
オランダ語,19
フランス人,17
箱館開港,16
10隻,10
首位,23
仲買商人,15
表13,28
第5条,14
3倍,12
上海,227
雑穀,18
亀田丸,14
5月7日,10
6月1日,10
香港,42
公使,18
薩摩,11
7月10日,11
刻昆布,11
ひとつ,50
幕末期,26
三井,42
3か年,13
1割,37
開拓使時代,22
4日,17
第2回,19
第3回,12
第4回,10
3割,31
4割,18
箱館裁判所,31
玄米,10
西洋帆船,19
大工町,10
2代目,13
樺太漁業,14
豆,11
牛,17
奥尻,10
20人,13
箱館丸,11
西洋,34
北海道庁勧業年報,16
38年,33
1万円,19
10人,19
府県,90
34年,38
上野,10
18名,11
澱粉,17
北海,49
ロシア領事館,12
太郎,15
文部省,106
3代目,10
天然痘,11
医,10
海軍,28
外国人医師,10
医学所,14
ロシア病院,12
患者,33
開拓使事業報告,38
無料,37
函館市史,45
函館病院,52
開業医,12
豊川病院,10
会所町,20
石炭ストーブ,17
遊女,10
仏教,75
ひとり,12
25日,26
8月1日,18
翌年3月,19
日米,42
アジア,11
日本国内,19
7月1日,15
阿部,23
4月10日,14
井上,37
代表者,40
名村,32
2件,11
一,16
第1条,29
日露,10
極東,10
ドルフ,13
ロジャーズ,14
夫人,23
第2条,16
一件,13
1冊,10
金,10
弁天台場,14
第3条,11
9割,12
大網,13
7月17日,11
ランス,10
プロシア,15
醤油,17
同年5月,14
外国商人,13
明治期,91
イギリス領事報告,13
外務省,36
1か月,40
初代,74
書記官,27
海軍省,24
取り締まり,13
9名,33
運上会所,17
大工,10
使用人,16
生徒,56
弥四郎,11
ロシア語通訳,11
慶喜,22
大政,11
新政府,18
12月25日,10
3日,20
2月11日,10
11日,20
杉浦,34
三郎,19
杉浦兵庫,10
清水谷,27
徳川家,12
太政官,58
金穀,12
吉田,13
10日,10
午後,19
小野,17
箱館府,97
主任官,10
開拓使庁,10
湯川村,13
脱走軍,59
次官,32
大蔵省,77
開拓使出張所,17
東京出張所,80
9月30日,13
天皇制,11
小田,11
金沢,10
9月15日,10
開陽,11
未明,10
相馬,50
渋沢,12
7隻,10
新政府軍,33
兵隊,11
デュース,14
午後3時,10
大蔵,18
青森港,11
12月1日,11
12月15日,13
司令官,10
黒田,69
兵部省,13
2日,10
東久世,17
岡本,25
午前8時,10
9月10日,10
黒田清隆,20
岩村,19
100人,17
廃藩置県,11
札幌本庁,32
太政官布告,17
幹事,34
道庁,191
2年後,14
内務省,61
陸軍省,10
刑法課,10
司法省,17
函館裁判所,22
役場,19
3円,12
2円,17
大区,64
函館市街,20
区長,193
5厘,29
西浜町,12
函館警察署,16
名古屋,18
広島,13
開拓使は,10
駅逓寮,11
農商務省,37
逓信省,20
北海道内,35
6年3月,10
1銭,13
函館地区,34
函館小樽,15
10月10日,11
大小区制,29
翌5月,10
16,17
田中,55
国立銀行,60
10円,22
5円,19
函館市民,87
1円,41
函館八幡,25
地方税,24
郡区長,13
函館区会,19
函館区民,12
100円,26
第1回目,11
安浪次郎吉,14
工藤弥兵衛,26
渡辺熊,91
貸付会所,12
明治22年,29
大書記官,10
総代,11
12月2日,10
桜庭,12
半年,10
十字街,26
山本,81
社長,160
北溟,22
国会,39
函館区長,32
時任,12
区会議員,38
議長,46
石田啓蔵,11
議員,63
2日間,15
林宇三郎,23
17年,36
午後5時,10
1階,15
2階,14
13名,13
関西貿易社,11
1社,14
食塩,13
安田,18
20万円,25
100万円,25
神戸,105
役員,78
広業商会,45
西村,15
社員,30
三井銀行,38
50万円,25
9人,13
大隈,17
石川,19
伊藤,12
10年後,10
工藤,29
北海自由党,13
2万円,13
第一歩,10
3県,10
函館札幌,11
12月28日,11
支庁長,10
警察官,11
二木彦七,12
庁令,17
林悦郎,17
函館県時代,12
1000円,11
2台,11
警察署長,10
沖縄,14
発起人,41
平出喜三郎,66
上嶋,12
21名,14
道南地域,12
平出,48
19名,10
函,11
板垣,12
50名,17
小川幸兵衛,12
高橋文之助,11
10名,23
委員,37
空知,10
山崎,14
青木清治郎,10
衆議院議員,19
代議士,13
井上馨,12
明治26年,29
3年後,13
第3章,10
33年,44
35年,40
北海道庁長官,20
助役,80
収入役,14
26名,11
木村,17
五稜郭地区,16
20パーセント,14
ともなう,11
佐々木忠兵衛,10
真砂町,30
函館県統計書,12
函館商工業調査報告,14
北海道庁統計書,28
明治37年,18
日露戦争,120
明治43年,38
43年,22
40年,34
芸妓,12
明治28年,31
60パーセント,15
明治40年代,10
西川町,21
音羽町,12
函館商業会議所,56
三井物産,33
明治38年,56
39年,24
所得税,12
明治18年,31
36年,31
労働者,87
20銭,13
金沢彦作,10
30万円,12
10万円,30
閣議,24
大臣,30
東川,12
若松,30
1万5000円,10
明治35年,20
明治30年代,26
蓬莱町,19
小樽港,27
30年代,55
函館船渠,27
40万円,11
佐藤,45
桟橋,57
日清,14
函館経済界,11
2倍,21
函館商人,40
技師,18
大正8年,51
日清戦争,11
函館支店,76
滝野組,12
三菱,189
函館海運史,12
佐々木,27
明治末,16
幌内,10
岩見沢,12
取締役,62
37年,36
函館在住,26
函館商工会議所,40
台湾,80
函館支社,13
6か月,14
20円,11
50銭,22
税関,10
北海道倉庫業,11
300万円,10
渡辺孝平,15
10月1日,11
函館商工会,38
安田銀行,32
辻,15
金森,18
鮭鱒,68
函館経済,17
午後1時,10
10銭,10
菊池,13
北海新聞,16
副社長,13
1年後,14
函館駅,94
26年,38
川崎船,11
比羅夫丸,17
25人,13
監査役,21
12名,13
理事,26
坂本,57
渋沢栄一,13
函館出張所,26
技術者,10
5万円,16
若松埠頭,12
6割,13
塩鱒,13
3万円,10
東京商人,11
海産商,88
大正4年,42
10年代,14
道外,27
三井組,27
日本銀行,23
株主,86
広業,39
漁業者,34
出漁,45
塩鮭鱒,33
殖民公報,13
函館近海,11
稚内,15
北前,18
合名会社,30
明治前期,15
70パーセント,12
清商,68
明治後期,14
清国人,15
張,10
木村万平,21
7割,19
笠野,14
20名,13
3か月,15
トップ,10
500円,10
40パーセント,14
張尊,10
連合会,10
3社,37
山田銀行,10
山田,13
27年,32
500万円,11
29年,53
会頭,15
株主総会,15
専務,33
60万円,10
平田,18
小川,41
200円,15
斉藤,20
理事長,16
咸臨丸,11
北海丸,13
庚午丸,16
矯龍丸,10
函館青森,12
函館商船学校,10
20隻,10
6隻,19
3分の2,10
肥田,16
泉,10
200万円,18
戦時下,34
2社,11
5隻,10
7月3日,10
42年,21
1往復,10
20年1月,10
田辺,36
30パーセント,14
門司,10
ウラジオストク,37
300円,10
大阪商船,12
15万円,10
31年,49
漁業家,12
函館造船所,10
日銀,14
本間,12
村尾,11
経営者,26
函館銀行,18
50円,13
第三国立銀行,13
函館貯蓄銀行,14
明治末年,11
玉林,12
トムソン,10
12月6日,10
委員長,22
9月中,10
明治42年,26
会長,83
スコット,10
内山,26
40年代,20
塩辛,33
10パーセント,11
デンビー,21
10月4日,12
デンビー商会,11
日本人漁業者,21
鮭缶詰,10
ロシア人漁業家,10
カムチャツカ,23
ラッコオットセイ猟,10
44年,31
41年,40
表10,12
函館学校,12
教員,89
ロシア語科,10
サルトフ,11
2校,17
会所学校,16
1校,21
文部,25
函館師範学校,18
函館教育協会雑誌,13
校長,39
首相,10
義務教育,18
大正期,143
院長,18
卒業生,20
武藤,10
函館商業学校,23
函館分校,13
講師,32
函館教育協会,44
北海道学事新報,22
副会長,14
11月3日,14
岡野,11
15名,14
神道,64
教部省,28
札幌神社,11
仏教寺院,36
近代天皇制,58
3日間,20
クリスマス,10
国家神道,14
遊女屋,19
看護婦,26
遊里,15
女紅場,18
3紙,14
1紙,10
編集長,13
大正10年,95
4面,10
1部,10
記者,32
編集人,12
衆議院議員選挙,10
巴珍報,15
日本画家,11
函館新聞社,15
浅田,15
労働争議,20
70,11
社会主義,31
ロシア革命,11
篠崎,14
啄木,50
函館要塞,32
戦没者,11
政友会函館支部,11
渋谷,13
北門倶楽部,13
西岡,11
幹事長,10
函館支部,61
函館日日新聞社,11
投票率,11
第1次世界大戦,30
函館海産物市場,11
海参,13
貝柱,14
満州,17
大正初期,24
昭和期,51
関東州,14
大正15年,34
阪,13
200,12
ビスケット,10
1台,13
函館工場,19
函館水電,28
魯漁業,56
日下部,10
連合国,15
五島軒,12
入江,13
紅鮭,15
ア,16
莉,12
鬢,32
魯漁業株式会社,11
軍人,19
教職員,14
市会議員,33
佐藤孝三郎,13
札幌市,40
太刀川,12
15センチ,10
津軽要塞,12
ソ連,181
昭和2年,72
太平洋戦争,43
昭和18年,31
米軍,15
昭和4年,69
満州事変,11
日貨,13
大正末期,20
大連,14
函館水産,12
魯,44
日本水産,19
関東大震災,13
公設市場,16
矢野,22
中国商人,15
昭和元年,30
5か年計画,10
昭和10年,33
カナダ,10
大正後期,16
北海道銀行,16
太平洋漁業,10
旭川市,14
昭和32年,13
季節性,10
臨海工業地帯,10
昭和21年,39
サラリーマン,11
青函連絡船,13
コンクリート,11
鉄筋コンクリート,13
スルメ,65
円山,11
日本軍,15
日ソ漁業条約,11
漁業労働者,10
農林省,34
女給,17
1周年,11
金光教,24
天理教,39
都市型布教,11
昭和27年,46
作家,29
歌誌,11
北條,12
美術,18
桐田,12
事務局,12
五稜郭公園,10
50年,17
女教員,22
函館ドック,51
ウィルソン,11
労働組合,28
労農党,21
鈴木治,11
亮,10
鶴本,12
GHQ,67
朝鮮人労働者,20
中国人労働者,21
市議会,28
若松国民学校,10
朝鮮人,12
函館署,20
東日本造船函館工場,10
地崎組,18
日本港運業会,10
函館華工管理事務所,10
函館俘虜,15
アメリカ軍,91
連合国軍,20
マッカーサー,14
占領軍,66
DDT,25
共愛会館,11
朝鮮戦争,18
対日講和条約,15
昭和33年,31
高度経済成長期,30
昭和20年代,21
珍味,19
主婦,12
48年,19
昭和38年,23
昭和40年代,37
50年代,12
63年,19
平成3年,10
接収,10
運輸省,11
社会党,10
吉谷,14
函館公海漁業,16
児童生徒,10
国立大学,10
昭和50年代,21
函館圏,10
矢不来計画,13
NHK,13
昭和53年,11
昭和62年,12
54年,11
57年,13
洞爺丸,18
太洋,13
ダンサー,10
