noun,count
歴史,174
地名,23
所在地,31
世紀,55
ころ,254
開拓,411
農民,66
村落,17
農村,47
宅地,55
施,55
懸案,17
合併,241
進行,28
近郊,55
次第,225
農家,36
戸数,128
戸,223
農業,98
進出,118
用地,28
増,91
増加率,10
余地,24
自治体,36
総,239
平方メートル,55
大野,94
背後,29
山地,13
古く,34
集落,66
明治,4517
セメント,100
大正,2197
浅野,33
戦後,285
日本,1859
名称,171
単,18
一大,72
好,31
不況,152
七重浜,51
精製,17
立地,33
町内,47
石,520
茂辺地,26
地,1109
原因,121
元,396
和人,89
南,105
砂原,15
駒ヶ岳,14
純,20
色彩,28
沿い,22
町政,25
方向,106
面,452
まま,364
中央,334
東部,113
七飯,34
享保,14
久根別,20
早く,12
水田,32
末期,103
最大,113
地帯,133
水,258
国営,56
ヘクタール,17
性格,167
菜,13
新幹線,13
候補,52
見方,20
施設,362
疑問,30
魚,161
″,202
形,542
本島,18
半島,116
地形,48
山岳,10
段丘,208
平野,53
北東,22
うち,635
部分,133
上部,42
溶岩,66
下部,39
輝石,18
安山岩,41
台地,26
雁皮,18
三森,17
硫黄,89
生成,14
作用,18
岩,37
山形,32
名,2138
峰,14
独立,81
周,14
崖,27
変質,22
前述,225
付近,232
松倉,65
ま,66
汐,82
泊,83
し,18
お,131
支流,20
上流,47
谷,20
各所,32
期,1030
泊川,58
層,330
新,1252
紀,45
所,1090
粗粒,14
玄武岩,17
際,318
川上,12
流,88
台場,107
枚,141
砂岩,15
先,370
長谷川,86
鈴木,126
場合,633
化石,19
時代,1157
吉田,55
青木,20
畳,28
地層,43
代,824
最高,80
木,57
無,245
一般,438
字,103
島,189
御殿山,25
幾つ,19
千畳敷,26
牛,66
万延,113
幕府,485
山頂,19
右,214
古,55
写真,218
戦時,140
要塞,204
世界,241
元年,357
愛宕,12
通り,450
斜面,18
広範囲,18
海岸,290
地質,18
集,103
塊,29
岩層,13
浸食,10
寒川,13
火山,73
噴出,21
物,428
顔,48
海岸線,38
立待,20
岬,62
西海岸,56
石英,50
柱状,16
節理,22
い,17
西部,132
寄り,16
傾斜,22
南東,28
谷地頭,63
湿地,14
資料,288
地下,21
構造,170
地表,16
砂,39
礫,27
粘土,73
堆積物,72
海面,126
平坦,33
積,98
世,51
形成,126
土地,267
隆起,14
拡大,206
一定,113
変化,227
両岸,11
前後,201
可能性,53
鱒,83
川面,11
牧場,13
凝灰岩,26
基盤岩,19
泥岩,13
角礫,15
粗面岩,17
褐色,15
ローム,11
寒冷,11
気,28
侯,10
一時期,18
時期,760
赤川,49
ミンデル,11
リス,11
氷期,34
日吉,87
下位,13
中川,85
対比,10
同,1378
研究,360
グループ,91
表面,11
普通,160
内陸,66
盆地,10
布,51
意見,219
乾燥,38
否,40
気候,45
議論,39
小林,82
海,250
水準,55
下,517
鈴蘭,24
丘,52
中野,47
本章,12
多,56
北方,96
ノ,2543
岱,32
高度,10
神社,323
温泉,88
海退,17
地盤,17
運動,618
亀尾,14
砂層,22
礫層,22
東方,13
南方,22
湖,14
堆積,42
旭,22
岡,16
環境,146
境界,23
分布,71
後者,85
前者,70
以西,13
中新世,13
河川,64
凝灰,11
質,74
河口,15
近く,100
級,80
砂礫,10
銭,659
亀沢,62
灰,40
順序,28
海進,28
過程,108
関東,76
丘陵,50
T,27
菊地,14
峠,21
横浜,402
浦,13
最,52
扇状地,15
湊,49
一致,54
ヨーロッパ,45
分類,34
A,90
方,573
東,233
粘土層,11
下流,22
余,731
層厚,13
湯川,158
対岸,39
上野,22
事実,135
泥,16
トラピスチヌ,11
修道院,26
沿岸,242
潮流,11
西岸,19
桔梗,42
五稜郭,221
操車場,10
沖,305
後述,35
原,43
一方,226
生,151
痕,22
管,17
貝,35
海水,14
坂本,119
系,188
状況,760
中部,23
何回,10
変動,61
小,305
山山,14
麓,23
値,56
流域,31
恵山,67
さん,59
熊石,13
下末吉,15
基準,74
条件,245
最後,140
印象,18
せん,13
C,73
年代,108
大学,116
研究室,11
測定,24
B,76
法,401
W,13
F,10
方法,314
生物,24
遺体,28
半分,61
絶対,21
前,615
噴火湾,35
西浜,36
あたり,83
前面,15
湯川町,29
坂,80
新川,44
センチメートル,150
以下,435
縄文,330
早期,40
土器,743
以前,208
沖積,12
住吉,91
例,247
砂鉄,19
現,129
当時,566
南西,16
畑地,14
違い,94
遺物,70
遺跡,539
大差,11
洪積世,13
中村,65
砂州,13
本土,28
時,1466
重,116
中間,27
かた,18
秋田県,20
機構,82
対馬,23
湾,40
奥,26
流れ,46
反,69
大森,95
浜,102
根崎,27
方面,395
角,26
三角形,18
土砂,26
材料,52
供給,184
風,59
砂丘,37
相当,60
図,259
県,599
地理,27
課,341
強,64
尺,88
差,128
考慮,17
採取,31
土木,63
工事,494
影,20
か年,179
平均,168
家屋,102
建造物,18
幅,73
埋立,204
下水,19
敷設,47
貝層,27
類,378
青,27
灰色,14
海草,12
黒色,17
順,73
陸上,60
場所,554
ピーク,75
デパート,86
建築,179
電報,19
石川,80
政治,144
種類,106
ごと,80
合計,104
大門,59
分析,29
水面,23
段階,145
何度,20
目,259
三谷,10
勝利,13
基底,11
電気,144
わけ,250
項,112
最終,37
以後,117
晩,12
R,17
減,45
b,17
北端,10
前期,98
移り変わり,20
列,22
山田,76
土層,13
晩期,29
器,50
文,450
平安,26
鎌倉,23
江戸,309
陶器,16
成立,87
擦文,16
木村,66
軸,29
側,701
本郷,13
高,268
造,39
自体,76
量,215
峠下,21
延長,90
富川,11
陣屋,28
急,47
大きさ,69
成,79
円,2686
亜,22
大小,45
円形,32
状態,288
跡,96
表,1582
期間,135
人類,27
生活,477
舞台,40
ほとんど,84
現世,12
湯,56
奥地,23
渡,45
火,92
下北,19
以東,23
起源,32
源,43
前記,107
様,149
多数,136
緑,28
色,67
白,39
程度,286
初め,66
活動,580
未,91
形態,173
ないし,37
種,169
中流,16
～,14
各層,11
佐々木,103
払,22
Ko,12
a,23
d,10
日,8119
式,612
上層,38
陸,46
海中,18
緑色,15
海底,22
砕屑,11
中国,321
裏,43
西南,20
伊豆,10
諸島,26
汲,21
魂,11
守,110
上位,72
硬質,10
頁,29
黒,18
黄,25
一緒,17
安山,12
岩質,18
全般,31
細,11
プロピライト,12
鉱,14
鉱物,12
斑晶,13
斜長石,10
半,117
肉,23
限,43
物質,16
ガラス,25
微,18
長,557
組織,317
N,10
E,24
中期,60
堅,10
相互,39
樹木,12
接触,18
板,23
直径,26
枕,10
小樽市,22
忍路,17
俵,102
丸山,18
連続,31
藤原,47
規則,535
ミリメートル,12
大型,139
連,40
方向性,11
径,14
小型,60
外,537
袴,19
基,122
両者,105
曲,13
報告,365
磯谷,19
準,23
今まで,25
境界線,12
内外,42
地理的,17
大要,13
nan,14
千島,197
列島,50
温帯,14
エトロフ,28
水道,148
ライン,42
高木,25
以北,38
姿,139
森林,16
石狩,59
低地,22
帯,47
樺太,417
移行,28
植物,60
域,68
河野,81
広道,12
せい,12
共通,11
協会,271
京浜,12
欧米,53
学者,14
政府,812
東京大学,15
教授,278
ジョン,22
ミルン,24
幹部,49
会員,236
地質学,12
鉱山,68
学,104
冠,11
貢献,21
英,42
ブラキストン,94
業績,42
功,38
三郎,54
主張,69
説,88
動物,73
北海道産,22
宗谷,27
重要性,41
シベリア,53
大陸,72
黒松内,10
寿都,29
要素,55
道北,10
他方,55
道東,38
現代,41
背景,191
特質,35
事情,292
付,1331
指定,92
山脈,14
新旧,15
一段,25
外洋,10
様式,20
海流,11
当,198
農地,77
貧困,19
使用,165
拡張,137
造成,65
郊外,43
緑地,11
激減,11
拍車,28
終戦,45
軍,292
さい,17
心,65
価値,37
自力,10
鳥類,21
カ,83
最初,302
論文,41
古代,18
報,73
巻,250
英国,57
陸軍,90
砲兵,65
大尉,22
戦争,607
貿易商,14
文久,203
滞在,22
商船,278
隻,543
材木,14
商,613
かたわら,30
趣味,21
標本,15
米国,73
研究所,30
博物館,86
専門,59
雑誌,163
幾度,11
発表,44
相違,38
既,29
蝦夷,273
構想,102
東亜,21
論説,38
ドイツ,59
カラフト,13
見解,49
専門家,13
周囲,25
都会,17
科,253
属,44
多き,16
今後,50
検討,40
問題,996
登山,11
道,545
階層,47
筋,70
可,289
燐,11
花,29
大形,26
有無,19
流入,19
危険性,10
一帯,62
野,24
城,50
水源,11
養,27
農耕,26
天然,31
更新,11
林,161
様相,45
樹,10
限界,35
本拠,14
平,19
建設,437
端,38
在来,16
ぶり,72
輸入品,29
半ば,24
公害,52
耕地,11
視,29
欧州,18
住宅地,21
若干,54
以南,24
東南,25
茶,18
毛,10
捕獲,31
頭数,11
特産,15
アムール,13
必要,335
夕方,22
産,222
区分,27
一途,31
夏期,15
一種,24
カムチャツカ,191
草,32
葉,20
樹皮,10
野菜,27
積雪,14
雪,33
冬期,38
徳川,66
末,294
船中,23
根室,204
舎,51
被害,108
毛皮,51
松下,21
熊,169
槌,14
ロンドン,11
進歩,55
模様,68
洞,30
出産,23
秋,79
果,15
食物,12
春,82
頭,175
人家,16
渡来,59
人々,238
甚大,12
洞窟,28
倉庫,503
街,95
休息,20
海域,67
年版,55
目録,48
出現,42
夏,78
冬,63
全国,409
道産,42
き,18
気象,50
観測,81
諸国,50
海外,89
知識,54
もと,288
長年,10
鎖国,12
文明,21
安政,472
神奈川,40
条約,373
下田,124
外国,494
入港,142
使節,57
船員,57
医師,134
宣教師,54
商人,877
ロシア人,203
アルブレヒト,10
自宅,34
測器,20
文献,22
天保,62
毎日,136
定時,10
師,37
国籍,19
不明,53
長崎,232
感じ,15
直轄,92
奉行所,100
風向,10
風力,12
気温,48
地震,32
雷,14
奉行,606
村垣,55
淡路,27
公務,48
日記,109
空白,11
対露,12
貿易,592
イギリス人,35
開港,346
来住,12
元治,47
日数,32
慶応,175
気圧,19
本邦,27
成果,77
アメリカ,473
伝道,41
医,51
本国,54
書簡,71
ヘボン,10
当地,66
ロシア,451
領事館,158
最低,30
開拓使,1005
顧問,48
団長,17
ケプロン,14
結論,41
以来,153
同年,743
団,119
出仕,44
設置,455
測量,46
技術者,18
官舎,26
区,1052
船場町,58
番地,151
注文,60
機会,66
国家,209
志,32
担当,102
インチ,10
製,181
気象台,13
検定,15
証,13
付き,46
創設,75
日付,10
実際,208
到着,28
間違い,23
手,276
海洋,28
基礎,118
沿革,123
史,1006
二十三,19
午前,118
午後,173
儀,240
らる,12
本所,14
民事,71
局,386
係,167
称す,11
内務,176
省,453
寮,79
構内,49
諸外国,18
開国,15
自国,35
超,21
一流,12
創業,93
記,205
万国,16
所属,69
庁,585
規程,86
回数,20
種目,15
雲,11
雨,29
夜間,49
項目,90
高砂町,29
火災,85
事務所,161
仮,221
庁舎,46
官有地,22
大火,311
計,162
鉄骨,11
屋上,11
取付,13
全部,43
空気,10
様子,219
常,85
都市化,13
波,61
昼夜,17
高層,17
ビル,18
一日,25
近代化,41
地上,16
たび,20
発生,49
時刻,11
仕事,146
詰所,15
旗,26
正午,31
池,10
大砲,25
放送局,22
ラジオ,39
以外,303
郡,158
役所,313
委託,134
福山,159
福島,35
俄,11
釣,15
瀬棚,16
山越,17
臼尻,20
特性,22
ペリー,230
艦隊,112
ペルリ,10
提督,49
遠征,53
冬季,20
季節風,10
夏季,13
太平洋,185
降水量,13
経過,91
類似,21
カナダ,20
補給,25
オホーツク,41
太平,12
洋,50
格好,10
帯広,14
下旬,31
中旬,21
低気圧,14
一時,79
季節,48
配置,36
運搬,32
手段,68
主力,60
馬車,87
路上,12
前線,11
北側,24
到来,13
凶作,19
か月,232
勢力,120
近海,92
勇払,13
比較,44
台風,28
朝鮮,129
注意,48
日中,61
始め,56
奥羽,51
暴風,13
丸,766
天候,16
空,25
室蘭,235
浦河,13
前半,54
後半,118
本格的,17
通過,10
とき,162
統計,256
規定,128
数値,71
室,81
現地,72
計算,44
開始,124
標準,34
駅前,52
地点,53
建物,168
社会,437
状勢,10
記述,47
問題点,34
移転,179
異動,12
初年,88
なか,620
宮古,13
苫小牧,12
毎年,61
か所,264
都度,10
割,466
下図,11
実,191
分間,13
出張所,268
災害,31
通常,36
夜,106
前日,19
昼,31
々,118
風速,20
消防組,19
調,61
発火,13
米,376
突,17
推定,22
同書,46
頃,472
迄,178
其,253
過,32
強風,10
増大,103
続,63
破壊,20
く,11
日常,34
昔,31
変わり,15
はず,59
反面,17
体制,431
戸口,30
戸籍法,15
信頼,14
手がかり,11
宗門,26
改め,19
数字,77
不,218
確定,24
確認,20
本籍,36
戸籍,36
寄留,38
出入,76
男女,70
要覧,40
現住,11
維新,100
天明,28
書,632
上山,10
鍛冶,32
沢辺,36
志海苔,22
潮,15
石崎,27
各村,11
享和,44
文政,47
嘉永,49
気味,13
女性,333
男性,59
男子,77
入,91
幕末,156
女子,224
終止符,10
封建,10
労働力,86
職業,189
官吏,105
技術,178
雑,38
業,710
内容,411
外国人,375
居留,83
宗教,351
関係者,173
イギリス,330
清国,193
フランス,102
デンマーク,14
港湾,350
旅客,102
滞留,17
渡道,20
離,26
出,78
各年,51
翌年,225
前年,204
急増,27
相応,19
水産業,31
仕方,18
施行,165
復興,121
数年間,19
侵略,14
軍需,31
来,169
復員,52
引揚者,103
戦前,163
運輸,232
通信,66
ガス,52
金融,162
停止,45
不振,108
1人,198
後退,19
代り,18
集積,28
部門,87
氷,119
マンモス,15
旧石器,66
交流,71
石器,249
興味,45
寛永,14
藩,516
新羅,17
室町,22
考古学,42
移住,39
始まり,32
市街,123
先端,26
先住,18
民族,109
貝塚,291
貝殻,64
骨,72
たち,510
漁労,34
具,55
狩猟,37
人骨,54
鳥,22
人類学,22
先史,28
S,16
モース,12
発掘,73
博物,41
場,586
公園,146
公開,23
関心,106
奈良,31
近年,23
古銭,23
越前,34
窯,36
出土,81
館,352
貞治,15
碑,56
地域性,13
考え方,46
後期,82
磨製,25
新潟県,14
草創,16
向き,13
弥生,81
西日本,13
稲作,10
文様,100
農具,11
定着,27
木製品,20
金属器,17
導入,48
北朝鮮,12
沿海州,102
縄,65
飾り,22
特色,70
伝統,45
古墳,68
ふ,20
住居,214
土師器,27
中世,20
移住者,14
陳列,20
越,15
調書,30
品目,71
漁,99
天狗,10
つい,27
破片,11
編,435
異,94
伊,13
刀,36
両端,10
石棒,12
神,63
今井,47
村上,36
兵衛,43
話,95
里,55
四方,33
飯,10
ひ,23
説明,66
鏃,11
かたち,44
中略,40
州,19
注,71
美濃,11
出羽,21
越後,33
佐渡,17
能登,26
あり,82
奥州,23
馬,55
正面,10
客,58
ゆ,15
家,506
予,17
非,83
意,53
天,17
鋒,14
ほ,12
こ,10
赤,18
勅,11
陸奥,21
直後,123
発見,38
勅令,52
朝廷,19
どおり,47
石鏃,28
吉,30
寿,27
著,49
旅行,29
談,57
八幡,148
宮,145
御,907
矢,11
社,759
同社,201
石斧,28
理解,36
ならび,75
会,1438
近藤,33
重蔵,12
観点,33
考,51
人工,12
松岡,22
寛文,10
延享,12
命,55
此,163
雁,12
松浦,20
武四郎,21
弘化,12
歳,246
地図,16
取調,40
蝦夷地,645
紀行,17
風土,23
十勝,44
日誌,198
址,93
在,122
小人,11
よし,16
アイヌ,220
記事,359
判断,48
考古,16
鋸,14
処,128
下等,31
ヒ,57
也,20
敷,49
事,560
有,107
会所,428
作り,19
天皇,110
乙,21
言,28
去,18
解,13
遠,15
府,378
之,152
自,25
止,37
レ,106
経,28
向,83
少,65
或,38
略,25
秋田,104
ヲ,1176
誌,127
通称,23
隊,247
秦,12
奇観,13
寛政,57
国後,38
択捉,69
絵,34
壷,19
終り,16
掘割,16
アサリ,13
相生町,20
亀田郡,36
サイベ,32
宗教的,32
西洋,163
足跡,19
分野,84
部落,36
風俗,50
習慣,39
旅,19
英文,14
駐在,27
公使館,11
日高,50
父,30
補,22
必要性,69
採集,11
工部,12
委員,266
通弁,21
官,336
玄武,14
行,88
及,333
報告書,189
ページ,13
刻,44
文学,72
開削,11
箇所,47
石槍,16
小刀,15
管玉,18
現今,28
要領,41
立,398
竪穴,52
紀要,10
学界,10
学術,25
人種,18
風習,17
日本人,293
商事,25
会社,1240
製氷,14
製材,61
案内,61
自身,89
国立,225
員,157
網走,44
居住地,27
民,100
M,16
土偶,50
祖先,12
論,130
骨格,15
伝説,17
コロポックル,10
学会,28
筆記,11
意味,160
伊勢,13
鳥羽,12
翌,891
勢,35
北海,285
物語,12
候,632
土,65
鍋,17
故,122
十人,38
合,70
往来,47
仕,77
金銀,23
軒,197
漁猟,16
術,45
窓,13
玉,78
多少,31
動き,355
内地,80
論争,16
医学部,11
教室,86
両年,10
号,1191
近傍,22
ピット,10
博士,10
批判,47
会報,16
常吉,16
チャシ,22
ご,19
石製,21
実地,43
小説,23
居住,47
没後,10
埋葬,16
一連,34
差異,12
収集,21
書店,14
弟子,17
人物,193
人夫,106
私立,150
図書館,167
前身,26
岡田,50
健蔵,20
館長,12
馬場,45
脩,15
設立,461
中学校,309
学生,48
砂山,32
岩船,12
湯倉,10
動機,16
区史,38
函,813
刊行,32
為め,41
墓地,20
辺,82
同町,18
片,29
士,58
蓬莱町,60
語,63
義,135
稍,16
腹,11
北海道大学,44
端緒,13
並,112
格,26
阿部,92
東洋,44
学芸,17
雑報,18
郷土,50
附属,51
一回,40
展覧会,67
土製,21
出品,81
深瀬,23
研究会,75
底,42
漁網,86
話題,29
ハ,747
称,28
シ,575
ニ,1935
スル,229
以,95
テ,310
ス,68
置,96
トシ,35
事項,179
目的,380
ガ,31
経費,216
応,11
事務,424
幹事,52
ニヨリ,12
常任,16
市内,152
伊藤,90
能登川,10
隆,17
策,137
体,44
週間,36
開館,28
記念,63
行事,84
はこだて,77
展,73
援助,49
奉仕,23
譚,15
現状,67
痕跡,13
遺憾,21
埋蔵,11
文化財,55
保護,189
大山,15
出版,26
勇,18
山内,41
清男,10
コレクション,11
椴法華,12
尖底,37
美術,134
図書,19
進展,55
講座,34
浜田,14
是れ,14
一切,97
物件,31
科学,21
保存,60
修理,55
形式,154
編年,38
神奈川県,17
児玉,13
作左衛門,11
春日町,18
大場,10
アリューシャン,14
原住民,17
注目,25
調査団,12
正雄,11
衛,10
合同,181
鉄器,12
長期,33
円筒,59
小中学,11
校,196
高等学校,100
ニュース,30
映画,97
骨角,24
道具,48
数々,11
装飾,37
樽岸,13
依頼,43
系統,46
新田,13
クローズアップ,10
北見,36
準備,172
北海道教育大学,14
講師,39
包含,11
土壌,16
参加,57
白滝,12
協力,112
個人,181
木炭,12
墓壙,34
製品,307
魚類,31
武内,24
山越郡,11
整理,101
教育委員会,59
貯蔵,20
穴,67
ストーン,44
サークル,43
試み,35
型式,12
東日本,35
撚糸,18
切,34
熱,23
岡山,10
大阪,223
新潟,99
製作,39
かくて,29
山形県,10
変遷,51
国際,49
会議,198
牙,15
頭骨,10
星野,25
大久保,15
焼,26
富士,16
直線,12
個,105
亀井,21
炉,55
柱,57
歯,11
内部,68
主催,87
大腿骨,10
全域,31
体質,29
姿勢,41
衣服,32
低下,53
祭祀,16
彫刻,11
絵画,63
屋根,27
像,41
男,93
針,17
集団,86
獲物,20
一気,24
銛,28
釣針,10
工作,24
石皿,16
H,17
残り,75
女,256
後継者,16
人間,41
伴,28
各国,89
極東,71
すべて,72
岩内,32
狩,10
太,15
千歳,33
原野,15
用途,36
団体,372
石刃,11
縦,31
剥片,18
一端,38
刃,16
舌,13
ポイント,26
メンバー,53
石灰,18
ブロック,34
岩手県,26
直前,59
福井,11
棒,19
め,17
刺突,12
革命,46
原理,12
容器,18
表現,56
原体,23
器形,52
不動,13
細分,10
紀元前,19
考え,29
根拠,44
手法,11
混乱,78
千葉,17
名古屋,24
限り,122
主食,24
解体,31
野外,13
シカ,11
皮,38
靴,29
柵,15
食糧,143
確保,106
両方,20
クジラ,10
オットセイ,55
マグロ,11
白鳥,37
海獣,34
漁法,26
回転,25
効率,10
鹿角,23
共同,282
下層,35
時間差,12
煮炊き,11
かご,10
流行,43
簡素化,15
開き,11
名取,13
武光,11
関連性,10
経路,11
推移,100
筒,19
刃部,19
周縁,12
瘤,19
一郎,33
櫛,16
環状,40
り,16
列石,13
立石,14
G,22
駒井,13
和,24
愛,48
墓,38
海上,73
胆振,29
東海岸,35
条,498
口縁,56
点列,11
縁,21
乳房,10
突起,16
フィリピン,15
族,17
輪,44
底部,25
事柄,14
石組,19
袋,21
焚,18
そば,11
柳,26
内側,21
製法,37
つまみ,12
紐,35
自然石,15
横須賀,11
器面,12
各町,40
八木,24
大船,17
有珠,16
静内,10
畑,38
新聞,1524
指導,180
体部,40
千代田,11
小学校,708
裏手,17
所在,17
南側,19
現場,59
一環,51
コ,110
横,45
沈線,24
竹管,14
全面,29
押,14
引き,12
工事中,12
引,22
千代,49
平底,26
一般的,12
綱,27
全国的,17
無文,12
調整,78
へら,11
胴部,10
理由,346
日常生活,16
趣,75
油,33
明,26
輯,22
糸,19
内面,12
節,244
斜行,13
左,74
深鉢,13
仕組み,13
本科,73
綿,11
す,15
作業,138
側面,48
溝,20
枠,29
箆,11
両面,27
基部,17
柄,46
基本,101
初頭,40
ノミ,13
両側,13
刺,13
首,20
魚群,11
舟,31
処理,74
造り,35
漁獲量,31
改良,161
向上,68
樽,73
岩手,16
長谷部,10
あい,46
D,24
頸部,10
揚げ,10
空間,56
配列,11
結束,16
様似,19
大系,12
代表,152
位置付け,17
閉鎖,28
少数,22
露天,10
掘,14
事態,153
期待,50
撮影,74
調達,37
職員,147
自転車,60
日間,86
井,42
虻田,17
入江,18
黄金,18
室蘭市,13
一体,29
神山,23
捨場,15
領域,12
予算,152
制約,31
滑走路,14
短期間,27
上方,10
宝暦,18
祭り,11
特定,36
広場,18
秩序,41
指揮,52
分配,16
用意,11
床面,13
固定,26
床,11
予定,160
方形,13
柱穴,23
重量,13
負担,123
暖房,28
緊急,39
野球,25
木製,19
やじり,14
竹,21
尾,85
毒,22
自由,182
鮭,87
刺網,10
工夫,15
調理,10
細目,10
頭部,10
服,23
紡錘,10
車,95
苦労,18
小穴,13
装身具,19
未開,12
成人,12
結婚,23
信仰,74
気持ち,14
身,39
飾り玉,16
臼玉,12
漆塗り,12
半月,12
副葬品,10
朱,23
耳,20
漆器,10
粉末,12
ゅ,98
死者,21
破損,18
口,212
肩,16
足,75
上下,20
崇拝,13
なり,22
意図,53
精神,96
台所,10
英語,101
後志,36
画,57
漁具,38
外側,16
近代,243
章,222
種別,11
浸透,20
蜊,15
一面,26
寺,296
境内,24
新築,110
堀川,14
曙町,11
改築,36
煉瓦,80
丁目,19
住宅,133
病院,341
原木,11
食糧難,25
全盛期,14
詳細,49
参考,45
富岡町,20
飲料水,20
井戸,33
指導者,23
壁,20
地主,76
区画,59
費,361
置場,10
屋外,12
組,385
代わり,25
現物,38
宮城県,30
実験,17
光,12
所有者,52
目標,101
犬,11
金属,39
空知,26
堤,71
星,15
手宮,12
記号,42
墳墓,39
堂,76
配石,12
時計,18
委員会,277
茅部郡,22
課題,119
概要,60
校舎,127
張り,12
交通局,20
営業所,17
勤労者,11
団地,42
将来,93
バス,62
道立,20
予想,28
ダム,28
土塁,34
身分,33
交易,176
入口,21
出入り,25
階級,44
特殊性,10
革新,29
祭礼,60
儀式,28
対象,182
後背,15
分離,86
注口,11
胴,20
朝,58
酒,80
優秀,11
病人,32
祈願,37
参照,349
服装,14
袖,10
丈,28
横断,16
住民,218
意志,34
実用,14
区別,21
動揺,28
亀ヶ岡,37
全通,12
富山,23
北陸,33
鉄,59
青銅,18
弘前,16
藩主,53
信,42
計画,574
文書,284
云々,19
歴代,10
堺,12
名沢,17
座談会,27
終末,20
大洞,24
木材,79
つき,10
材,33
木工,49
夕張,17
榎本,59
園,27
新撰,12
通説,70
上磯郡,18
個々,24
段,91
直,114
