noun,count,label
亀沢村,168,City
完形土器,16,Tumulus
楕円形,24,Compound
赤色,16,Nature_Color
獣骨,32,Sport
魚骨,32,Animal_Part
将棋,16,Sport
石鏃と,16,Culture
木製,24,Material
柳葉,16,Person
舌状,16,Flora_Part
アカエイ,16,Dish
尾部,24,Animal_Part
宮内庁,16,Government
骨角製,16,Material
生皮,24,Food_Other
りんご,32,Flora
頭部,80,Animal_Part
石製,16,Clothing
装身具,104,Clothing
土偶,200,Academic
手足,40,Animal_Part
権力者,16,Doctrine_Method_Other
土製,32,Theory
耳飾り,32,Clothing
胸飾り,24,Clothing
幾つ,16,Animal_Disease
飾り玉,48,Material
平玉,16,Material
なつめ玉,32,Product_Other
管玉,24,Facility_Part
翡翠玉,32,Product_Other
小玉,24,Flora
首飾り,40,Material
北栄,24,Province
硬玉,24,Dish
漆塗り,48,Material
栗沢台地,16,Domestic_Region
琥珀製,16,Material
琥珀,56,Company
朱漆塗り,16,GOE_Other
日高御殿山遺跡,16,GOE_Other
籃胎漆器,24,Flora
松科,16,Flora_Part
胸部,16,Animal_Part
乳房突起,16,Doctrine_Method_Other
下腹部,16,Animal_Part
和服,72,Clothing
腰紐,24,Clothing
英語,448,National_Language
後志,40,City
噴火湾,144,City
カキ,16,Mollusc_Arthropod
カガミガイ,24,Material
ハマグリ,72,Mollusc_Arthropod
トド,16,Bird
八幡,24,City
文学,88,Academic
天祐寺境内,16,Facility_Part
鳥骨,16,Animal_Disease
骨角器,16,Religion
青柳町貝塚,32,City
赤川貝塚,16,Book
湯川貝塚,32,Broadcast_Program
日吉段丘,24,GOE_Other
余市式土器,72,Doctrine_Method_Other
渡島地方,24,City
静狩,24,City
原木,16,Material
富岡町,104,City
飲料水,152,Food_Other
笹竹,16,Flora
沈線文,80,Event_Other
木の葉,24,Flora_Part
石冠,16,Animal_Disease
刀形石器,16,Product_Other
刀部,24,Organization_Other
柄頭,16,Weapon
金属器文化,40,Culture
宮城県,192,Province
シオフキ,16,Food_Other
ツメタガイ,16,Food_Other
下顎骨,16,Animal_Part
脊椎骨,16,Animal_Disease
玄室,16,Facility_Part
北九州,16,City
支石墓,24,Drug
空知郡,16,County
太陽,16,Planet
鳥井,16,Person
手宮,40,City
駒井和,24,Person
野中堂,16,GOE_Other
配石,32,Clothing
北海道勤労者住宅生活協同組合,16,Corporation_Other
道立,64,City
日浦,16,GOE_Other
中野ダム,80,Natural_Disaster
東南部,16,Organization_Other
中国大陸,112,Continental_Region
クルミ,16,GOE_Other
童顔,16,Animal_Part
漆器,32,Flora
装飾品,32,Clothing
注口土器,56,Tumulus
焼成法,16,Law
小枝,16,Flora_Part
龍山文化,24,Culture
裸体,32,Animal_Disease
下着,32,Clothing
足首,16,Animal_Part
手首,16,Animal_Part
膝下,16,Animal_Part
大森,80,City
ブーツ,16,Clothing
上着,16,Clothing
函館近郊,40,Port
金属器,16,Planet
富山,104,City
北陸,128,Province
亀ヶ岡文化,32,Culture
弥生式土器,48,Doctrine_Method_Other
亀ヶ岡,16,Doctrine_Method_Other
藩主,368,Position_Vocation
文人,24,Person
亀ヶ岡式,96,Doctrine_Method_Other
歴史学者,24,Position_Vocation
喜田貞吉,16,Person
歴史学,16,Academic
喜田,16,Person
平泉,16,Person
木材,320,Material
ニレ,16,Material
フジ,16,Company
ブドウ,24,Food_Other
サクラ,16,Flora
亀ヶ岡式土器,80,Doctrine_Method_Other
夕張,16,City
住吉,24,City
榎本,288,Person
高丘,16,Person
落合,24,Person
新撰北海道史,24,Printing_Other
函館土木現業所,16,GOE_Other
上磯郡,80,City
久根別遺跡,24,Archaeological_Place_Other
大洞B式,16,Doctrine_Method_Other
大洞B－C式,16,Product_Other
大洞A式,16,Doctrine_Method_Other
金田,40,City
噴火湾沿岸,24,Geological_Region_Other
夕張郡,24,City
砂沢式,24,Doctrine_Method_Other
工字文,16,Doctrine_Method_Other
武佐川,16,River
青銅製刀子,40,Material
遮光器土偶,24,Doctrine_Method_Other
遮光器,16,Doctrine_Method_Other
下衣,48,Clothing
頭髪,16,Animal_Part
腹部,32,Animal_Part
畿内,32,City
青銅製,56,Material
渡来し,16,Culture
稲作,24,Flora
東海地方,16,Domestic_Region
恵山式,48,Worship_Place
弥生式,24,Doctrine_Method_Other
鉄器,32,Clothing
恵山式文化,16,Doctrine_Method_Other
江別式,80,Doctrine_Method_Other
北大式,104,Doctrine_Method_Other
江別,240,Person
恵山式土器,16,Doctrine_Method_Other
文化庁,16,Government
能登川,16,City
式土器,32,Academic
峯山厳,16,Person
魚形石器,24,Animal_Part
陣屋,40,Position_Vocation
函館山周辺,16,Domestic_Region
戸倉,32,Province
西桔梗B2遺跡,16,GOE_Other
函館工業高等専門学校,16,School
桜町遺跡,16,Archaeological_Place_Other
鳴川遺跡,16,Animal_Part
石塚,64,Person
コーヒー,80,Dish
両手,40,Animal_Part
小熊,464,Person
2頭,16,N_Animal
かかわり,176,Dish
片刃,16,Sport
石銛,16,Event_Other
靴形石箆,16,Clothing
寺村光晴,16,Person
弥生人,32,Ethnic_Group_Other
乾魚,24,Food_Other
恵山文化,16,Culture
江別文化,64,Culture
キーリング,24,Doctrine_Method_Other
江別式墳墓,32,Company
北見型,16,Doctrine_Method_Other
盛岡,64,City
フゴッペ洞窟,64,Facility_Other
後藤寿一,24,Person
高倉新一郎,16,Person
石狩川,80,River
江別式土器,32,Doctrine_Method_Other
丸山,48,GOE_Other
北方ユーラシア,24,Domestic_Region
漁師,128,Position_Vocation
川口,32,City
赤い,32,Nature_Color
浜風,16,City
有翼人,16,Position_Vocation
雄鹿,16,Name_Other
大鳥,64,Person
刀子,64,Clothing
剣身,16,Weapon
大刀,40,Weapon
鹿角装,24,Company
籠目,16,Dish
山形微隆起線文,24,Material
江別Ⅲ式,16,Natural_Disaster
江別Ⅲ,16,Occasion_Other
北大構内,16,Port
小形土器,16,Nature_Color
突瘤文,56,Animal_Disease
阿寒,24,City
アヨロ遺跡,16,Archaeological_Place_Other
積丹,16,City
北大式土器,64,Doctrine_Method_Other
石狩,144,City
アヨロ,16,City
葉痕,16,Flora_Part
湯川遺跡,32,Archaeological_Place_Other
恵庭,16,City
多賀柵,16,Facility_Other
多賀城,24,Province
胆沢城,16,Facility_Other
渡島蝦夷,40,Ethnic_Group_Other
百姓,40,Position_Vocation
城柵,16,Facility_Part
ロクロ,16,City
亀沢遺跡,16,Worship_Place
函館競馬場,16,Port
内館,16,Person
永享,72,Person
七重浜,248,City
珠洲窯,40,River
日持上人,16,Art_Other
鋳物師,16,Position_Vocation
和泉,24,Person
河内,16,Person
吉岡,48,Person
武士,72,Position_Vocation
豪族,24,Position_Vocation
福井県,24,Province
石川県,88,Province
皇朝,16,Dish
珠洲甕,16,Person
永楽通宝,24,Company
昆布,2464,Food_Other
豪商,128,Position_Vocation
宇賀昆布,24,Dish
河野加賀,32,Person
河野弥次郎,16,Person
函館沿革史,24,Book
瀬田内,16,City
泊川チャシ,32,Ethnic_Group_Other
チャシ,48,Company
函館新聞,632,GOE_Other
泊川,16,River
鎌倉,48,City
康正,40,Person
コシャマイン,32,Ethnic_Group_Other
天皇,616,Position_Vocation
奥羽,72,City
康平,16,Person
文治,16,Person
奥州,72,Person
枝葉,16,Flora_Part
蝦夷島,96,Island
来住,24,Person
諏訪大明神絵詞,24,Book
鶴子,32,Person
函館松前,16,Port
日蓮,40,Person
駿河,24,City
鶏冠,16,Animal_Part
称名寺境内,16,Event_Other
市川十郎,24,Person
蝦夷実地検考録,112,Book
金石文,16,Occasion_Other
安倍貞任,16,Person
安東,208,Person
津軽,64,City
藤崎,16,Mountain
北条,40,Person
