a,b,c,d,e,f,g,h,i,j,k,l,m
千代台町,,,10,名詞,固有名詞,地域,一般,*,*,千代台町,*,*
堀川町,,,10,名詞,固有名詞,地域,一般,*,*,堀川町,*,*
高盛町,,,10,名詞,固有名詞,地域,一般,*,*,高盛町,*,*
宇賀浦町,,,10,名詞,固有名詞,地域,一般,*,*,宇賀浦町,*,*
日乃出町,,,10,名詞,固有名詞,地域,一般,*,*,日乃出町,*,*
的場町,,,10,名詞,固有名詞,地域,一般,*,*,的場町,*,*
時任町,,,10,名詞,固有名詞,地域,一般,*,*,時任町,*,*
杉並町,,,10,名詞,固有名詞,地域,一般,*,*,杉並町,*,*
本町,,,10,名詞,固有名詞,地域,一般,*,*,本町,*,*
梁川町,,,10,名詞,固有名詞,地域,一般,*,*,梁川町,*,*
五稜郭町,,,10,名詞,固有名詞,地域,一般,*,*,五稜郭町,*,*
柳町,,,10,名詞,固有名詞,地域,一般,*,*,柳町,*,*
松陰町,,,10,名詞,固有名詞,地域,一般,*,*,松陰町,*,*
人見町,,,10,名詞,固有名詞,地域,一般,*,*,人見町,*,*
金堀町,,,10,名詞,固有名詞,地域,一般,*,*,金堀町,*,*
乃木町,,,10,名詞,固有名詞,地域,一般,*,*,乃木町,*,*
柏木町,,,10,名詞,固有名詞,地域,一般,*,*,柏木町,*,*
川原町,,,10,名詞,固有名詞,地域,一般,*,*,川原町,*,*
深堀町,,,10,名詞,固有名詞,地域,一般,*,*,深堀町,*,*
駒場町,,,10,名詞,固有名詞,地域,一般,*,*,駒場町,*,*
広野町,,,10,名詞,固有名詞,地域,一般,*,*,広野町,*,*
湯浜町,,,10,名詞,固有名詞,地域,一般,*,*,湯浜町,*,*
湯川町１丁目,,,10,名詞,固有名詞,地域,一般,*,*,湯川町１丁目,*,*
湯川町２丁目,,,10,名詞,固有名詞,地域,一般,*,*,湯川町２丁目,*,*
湯川町３丁目,,,10,名詞,固有名詞,地域,一般,*,*,湯川町３丁目,*,*
戸倉町,,,10,名詞,固有名詞,地域,一般,*,*,戸倉町,*,*
榎本町,,,10,名詞,固有名詞,地域,一般,*,*,榎本町,*,*
花園町,,,10,名詞,固有名詞,地域,一般,*,*,花園町,*,*
日吉町１丁目,,,10,名詞,固有名詞,地域,一般,*,*,日吉町１丁目,*,*
日吉町２丁目,,,10,名詞,固有名詞,地域,一般,*,*,日吉町２丁目,*,*
日吉町３丁目,,,10,名詞,固有名詞,地域,一般,*,*,日吉町３丁目,*,*
日吉町４丁目,,,10,名詞,固有名詞,地域,一般,*,*,日吉町４丁目,*,*
上野町,,,10,名詞,固有名詞,地域,一般,*,*,上野町,*,*
高丘町,,,10,名詞,固有名詞,地域,一般,*,*,高丘町,*,*
滝沢町,,,10,名詞,固有名詞,地域,一般,*,*,滝沢町,*,*
見晴町,,,10,名詞,固有名詞,地域,一般,*,*,見晴町,*,*
鈴蘭丘町,,,10,名詞,固有名詞,地域,一般,*,*,鈴蘭丘町,*,*
上湯川町,,,10,名詞,固有名詞,地域,一般,*,*,上湯川町,*,*
銅山町,,,10,名詞,固有名詞,地域,一般,*,*,銅山町,*,*
旭岡町,,,10,名詞,固有名詞,地域,一般,*,*,旭岡町,*,*
西旭岡町１丁目,,,10,名詞,固有名詞,地域,一般,*,*,西旭岡町１丁目,*,*
西旭岡町２丁目,,,10,名詞,固有名詞,地域,一般,*,*,西旭岡町２丁目,*,*
西旭岡町３丁目,,,10,名詞,固有名詞,地域,一般,*,*,西旭岡町３丁目,*,*
鱒川町,,,10,名詞,固有名詞,地域,一般,*,*,鱒川町,*,*
寅沢町,,,10,名詞,固有名詞,地域,一般,*,*,寅沢町,*,*
三森町,,,10,名詞,固有名詞,地域,一般,*,*,三森町,*,*
紅葉山町,,,10,名詞,固有名詞,地域,一般,*,*,紅葉山町,*,*
庵原町,,,10,名詞,固有名詞,地域,一般,*,*,庵原町,*,*
亀尾町,,,10,名詞,固有名詞,地域,一般,*,*,亀尾町,*,*
米原町,,,10,名詞,固有名詞,地域,一般,*,*,米原町,*,*
東畑町,,,10,名詞,固有名詞,地域,一般,*,*,東畑町,*,*
鉄山町,,,10,名詞,固有名詞,地域,一般,*,*,鉄山町,*,*
蛾眉野町,,,10,名詞,固有名詞,地域,一般,*,*,蛾眉野町,*,*
根崎町,,,10,名詞,固有名詞,地域,一般,*,*,根崎町,*,*
高松町,,,10,名詞,固有名詞,地域,一般,*,*,高松町,*,*
志海苔町,,,10,名詞,固有名詞,地域,一般,*,*,志海苔町,*,*
瀬戸川町,,,10,名詞,固有名詞,地域,一般,*,*,瀬戸川町,*,*
赤坂町,,,10,名詞,固有名詞,地域,一般,*,*,赤坂町,*,*
銭亀町,,,10,名詞,固有名詞,地域,一般,*,*,銭亀町,*,*
中野町,,,10,名詞,固有名詞,地域,一般,*,*,中野町,*,*
新湊町,,,10,名詞,固有名詞,地域,一般,*,*,新湊町,*,*
石倉町,,,10,名詞,固有名詞,地域,一般,*,*,石倉町,*,*
古川町,,,10,名詞,固有名詞,地域,一般,*,*,古川町,*,*
豊原町,,,10,名詞,固有名詞,地域,一般,*,*,豊原町,*,*
石崎町,,,10,名詞,固有名詞,地域,一般,*,*,石崎町,*,*
鶴野町,,,10,名詞,固有名詞,地域,一般,*,*,鶴野町,*,*
白石町,,,10,名詞,固有名詞,地域,一般,*,*,白石町,*,*
富岡町１丁目,,,10,名詞,固有名詞,地域,一般,*,*,富岡町１丁目,*,*
富岡町２丁目,,,10,名詞,固有名詞,地域,一般,*,*,富岡町２丁目,*,*
富岡町３丁目,,,10,名詞,固有名詞,地域,一般,*,*,富岡町３丁目,*,*
中道１丁目,,,10,名詞,固有名詞,地域,一般,*,*,中道１丁目,*,*
中道２丁目,,,10,名詞,固有名詞,地域,一般,*,*,中道２丁目,*,*
山の手１丁目,,,10,名詞,固有名詞,地域,一般,*,*,山の手１丁目,*,*
山の手２丁目,,,10,名詞,固有名詞,地域,一般,*,*,山の手２丁目,*,*
山の手３丁目,,,10,名詞,固有名詞,地域,一般,*,*,山の手３丁目,*,*
本通１丁目,,,10,名詞,固有名詞,地域,一般,*,*,本通１丁目,*,*
本通２丁目,,,10,名詞,固有名詞,地域,一般,*,*,本通２丁目,*,*
本通３丁目,,,10,名詞,固有名詞,地域,一般,*,*,本通３丁目,*,*
本通４丁目,,,10,名詞,固有名詞,地域,一般,*,*,本通４丁目,*,*
鍛治１丁目,,,10,名詞,固有名詞,地域,一般,*,*,鍛治１丁目,*,*
鍛治２丁目,,,10,名詞,固有名詞,地域,一般,*,*,鍛治２丁目,*,*
陣川町,,,10,名詞,固有名詞,地域,一般,*,*,陣川町,*,*
陣川１丁目,,,10,名詞,固有名詞,地域,一般,*,*,陣川１丁目,*,*
陣川２丁目,,,10,名詞,固有名詞,地域,一般,*,*,陣川２丁目,*,*
神山町,,,10,名詞,固有名詞,地域,一般,*,*,神山町,*,*
神山１丁目,,,10,名詞,固有名詞,地域,一般,*,*,神山１丁目,*,*
神山２丁目,,,10,名詞,固有名詞,地域,一般,*,*,神山２丁目,*,*
神山３丁目,,,10,名詞,固有名詞,地域,一般,*,*,神山３丁目,*,*
東山町,,,10,名詞,固有名詞,地域,一般,*,*,東山町,*,*
東山１丁目,,,10,名詞,固有名詞,地域,一般,*,*,東山１丁目,*,*
東山２丁目,,,10,名詞,固有名詞,地域,一般,*,*,東山２丁目,*,*
東山３丁目,,,10,名詞,固有名詞,地域,一般,*,*,東山３丁目,*,*
美原１丁目,,,10,名詞,固有名詞,地域,一般,*,*,美原１丁目,*,*
美原２丁目,,,10,名詞,固有名詞,地域,一般,*,*,美原２丁目,*,*
美原３丁目,,,10,名詞,固有名詞,地域,一般,*,*,美原３丁目,*,*
美原４丁目,,,10,名詞,固有名詞,地域,一般,*,*,美原４丁目,*,*
美原５丁目,,,10,名詞,固有名詞,地域,一般,*,*,美原５丁目,*,*
赤川町,,,10,名詞,固有名詞,地域,一般,*,*,赤川町,*,*
赤川１丁目,,,10,名詞,固有名詞,地域,一般,*,*,赤川１丁目,*,*
亀田中野町,,,10,名詞,固有名詞,地域,一般,*,*,亀田中野町,*,*
北美原１丁目,,,10,名詞,固有名詞,地域,一般,*,*,北美原１丁目,*,*
北美原２丁目,,,10,名詞,固有名詞,地域,一般,*,*,北美原２丁目,*,*
北美原３丁目,,,10,名詞,固有名詞,地域,一般,*,*,北美原３丁目,*,*
水元町,,,10,名詞,固有名詞,地域,一般,*,*,水元町,*,*
亀田大森町,,,10,名詞,固有名詞,地域,一般,*,*,亀田大森町,*,*
石川町,,,10,名詞,固有名詞,地域,一般,*,*,石川町,*,*
桔梗町,,,10,名詞,固有名詞,地域,一般,*,*,桔梗町,*,*
桔梗１丁目,,,10,名詞,固有名詞,地域,一般,*,*,桔梗１丁目,*,*
桔梗２丁目,,,10,名詞,固有名詞,地域,一般,*,*,桔梗２丁目,*,*
桔梗３丁目,,,10,名詞,固有名詞,地域,一般,*,*,桔梗３丁目,*,*
桔梗４丁目,,,10,名詞,固有名詞,地域,一般,*,*,桔梗４丁目,*,*
桔梗５丁目,,,10,名詞,固有名詞,地域,一般,*,*,桔梗５丁目,*,*
西桔梗町,,,10,名詞,固有名詞,地域,一般,*,*,西桔梗町,*,*
昭和町,,,10,名詞,固有名詞,地域,一般,*,*,昭和町,*,*
昭和１丁目,,,10,名詞,固有名詞,地域,一般,*,*,昭和１丁目,*,*
昭和２丁目,,,10,名詞,固有名詞,地域,一般,*,*,昭和２丁目,*,*
昭和３丁目,,,10,名詞,固有名詞,地域,一般,*,*,昭和３丁目,*,*
昭和４丁目,,,10,名詞,固有名詞,地域,一般,*,*,昭和４丁目,*,*
亀田本町,,,10,名詞,固有名詞,地域,一般,*,*,亀田本町,*,*
亀田港町,,,10,名詞,固有名詞,地域,一般,*,*,亀田港町,*,*
小安町,,,10,名詞,固有名詞,地域,一般,*,*,小安町,*,*
小安山町,,,10,名詞,固有名詞,地域,一般,*,*,小安山町,*,*
釜谷町,,,10,名詞,固有名詞,地域,一般,*,*,釜谷町,*,*
汐首町,,,10,名詞,固有名詞,地域,一般,*,*,汐首町,*,*
瀬田来町,,,10,名詞,固有名詞,地域,一般,*,*,瀬田来町,*,*
弁才町,,,10,名詞,固有名詞,地域,一般,*,*,弁才町,*,*
泊町,,,10,名詞,固有名詞,地域,一般,*,*,泊町,*,*
館町,,,10,名詞,固有名詞,地域,一般,*,*,館町,*,*
浜町,,,10,名詞,固有名詞,地域,一般,*,*,浜町,*,*
新二見町,,,10,名詞,固有名詞,地域,一般,*,*,新二見町,*,*
原木町,,,10,名詞,固有名詞,地域,一般,*,*,原木町,*,*
丸山町,,,10,名詞,固有名詞,地域,一般,*,*,丸山町,*,*
日浦町,,,10,名詞,固有名詞,地域,一般,*,*,日浦町,*,*
吉畑町,,,10,名詞,固有名詞,地域,一般,*,*,吉畑町,*,*
豊浦町,,,10,名詞,固有名詞,地域,一般,*,*,豊浦町,*,*
大澗町,,,10,名詞,固有名詞,地域,一般,*,*,大澗町,*,*
中浜町,,,10,名詞,固有名詞,地域,一般,*,*,中浜町,*,*
女那川町,,,10,名詞,固有名詞,地域,一般,*,*,女那川町,*,*
川上町,,,10,名詞,固有名詞,地域,一般,*,*,川上町,*,*
日和山町,,,10,名詞,固有名詞,地域,一般,*,*,日和山町,*,*
高岱町,,,10,名詞,固有名詞,地域,一般,*,*,高岱町,*,*
日ノ浜町,,,10,名詞,固有名詞,地域,一般,*,*,日ノ浜町,*,*
古武井町,,,10,名詞,固有名詞,地域,一般,*,*,古武井町,*,*
恵山町,,,10,名詞,固有名詞,地域,一般,*,*,恵山町,*,*
柏野町,,,10,名詞,固有名詞,地域,一般,*,*,柏野町,*,*
御崎町,,,10,名詞,固有名詞,地域,一般,*,*,御崎町,*,*
恵山岬町,,,10,名詞,固有名詞,地域,一般,*,*,恵山岬町,*,*
元村町,,,10,名詞,固有名詞,地域,一般,*,*,元村町,*,*
富浦町,,,10,名詞,固有名詞,地域,一般,*,*,富浦町,*,*
島泊町,,,10,名詞,固有名詞,地域,一般,*,*,島泊町,*,*
新恵山町,,,10,名詞,固有名詞,地域,一般,*,*,新恵山町,*,*
絵紙山町,,,10,名詞,固有名詞,地域,一般,*,*,絵紙山町,*,*
新八幡町,,,10,名詞,固有名詞,地域,一般,*,*,新八幡町,*,*
新浜町,,,10,名詞,固有名詞,地域,一般,*,*,新浜町,*,*
銚子町,,,10,名詞,固有名詞,地域,一般,*,*,銚子町,*,*
古部町,,,10,名詞,固有名詞,地域,一般,*,*,古部町,*,*
木直町,,,10,名詞,固有名詞,地域,一般,*,*,木直町,*,*
尾札部町,,,10,名詞,固有名詞,地域,一般,*,*,尾札部町,*,*
川汲町,,,10,名詞,固有名詞,地域,一般,*,*,川汲町,*,*
安浦町,,,10,名詞,固有名詞,地域,一般,*,*,安浦町,*,*
臼尻町,,,10,名詞,固有名詞,地域,一般,*,*,臼尻町,*,*
豊崎町,,,10,名詞,固有名詞,地域,一般,*,*,豊崎町,*,*
大船町,,,10,名詞,固有名詞,地域,一般,*,*,大船町,*,*
双見町,,,10,名詞,固有名詞,地域,一般,*,*,双見町,*,*
岩戸町,,,10,名詞,固有名詞,地域,一般,*,*,岩戸町,*,*
三上超順力試之石,,,10,名詞,固有名詞,地域,一般,*,*,三上超順力試之石,*,*
館城址石碑,,,10,名詞,固有名詞,地域,一般,*,*,館城址石碑,*,*
館城跡,,,10,名詞,固有名詞,地域,一般,*,*,館城跡,*,*
函館市指定天然記念物　「大船の杉」大樹,,,10,名詞,固有名詞,地域,一般,*,*,函館市指定天然記念物　「大船の杉」大樹,*,*
開墾役所跡,,,10,名詞,固有名詞,地域,一般,*,*,開墾役所跡,*,*
おかめ落とし,,,10,名詞,固有名詞,地域,一般,*,*,おかめ落とし,*,*
米揚げ岱,,,10,名詞,固有名詞,地域,一般,*,*,米揚げ岱,*,*
ホイド穴,,,10,名詞,固有名詞,地域,一般,*,*,ホイド穴,*,*
稲倉石古戦場,,,10,名詞,固有名詞,地域,一般,*,*,稲倉石古戦場,*,*
碧血碑,,,10,名詞,固有名詞,地域,一般,*,*,碧血碑,*,*
メークイン発祥の地碑,,,10,名詞,固有名詞,地域,一般,*,*,メークイン発祥の地碑,*,*
殿様堀,,,10,名詞,固有名詞,地域,一般,*,*,殿様堀,*,*
無量寺平和塔,,,10,名詞,固有名詞,地域,一般,*,*,無量寺平和塔,*,*
檜山農事試作場,,,10,名詞,固有名詞,地域,一般,*,*,檜山農事試作場,*,*
拓魂流汗の碑,,,10,名詞,固有名詞,地域,一般,*,*,拓魂流汗の碑,*,*
忠魂碑,,,10,名詞,固有名詞,地域,一般,*,*,忠魂碑,*,*
帝国製麻鶉工場跡,,,10,名詞,固有名詞,地域,一般,*,*,帝国製麻鶉工場跡,*,*
寺田農場開放記念碑,,,10,名詞,固有名詞,地域,一般,*,*,寺田農場開放記念碑,*,*
ロクロ場,,,10,名詞,固有名詞,地域,一般,*,*,ロクロ場,*,*
国分館跡,,,10,名詞,固有名詞,地域,一般,*,*,国分館跡,*,*
凱旋門跡,,,10,名詞,固有名詞,地域,一般,*,*,凱旋門跡,*,*
三上超順力試之石,,,10,名詞,固有名詞,地域,一般,*,*,三上超順力試之石,*,*
相沼小学校百周年記念碑,,,10,名詞,固有名詞,地域,一般,*,*,相沼小学校百周年記念碑,*,*
渡島當國観音札所無量寺石柱,,,10,名詞,固有名詞,地域,一般,*,*,渡島當國観音札所無量寺石柱,*,*
大島津波溺死者供養地蔵座像,,,10,名詞,固有名詞,地域,一般,*,*,大島津波溺死者供養地蔵座像,*,*
泊川小学校百周年記念碑,,,10,名詞,固有名詞,地域,一般,*,*,泊川小学校百周年記念碑,*,*
菅江真澄の歌碑,,,10,名詞,固有名詞,地域,一般,*,*,菅江真澄の歌碑,*,*
渡島當國観音三十一番札所石柱,,,10,名詞,固有名詞,地域,一般,*,*,渡島當國観音三十一番札所石柱,*,*
北山神社狛犬（2）,,,10,名詞,固有名詞,地域,一般,*,*,北山神社狛犬（2）,*,*
北山神社狛犬（1）,,,10,名詞,固有名詞,地域,一般,*,*,北山神社狛犬（1）,*,*
北山神社忠魂碑,,,10,名詞,固有名詞,地域,一般,*,*,北山神社忠魂碑,*,*
北山神社社号標,,,10,名詞,固有名詞,地域,一般,*,*,北山神社社号標,*,*
円空上人滞洞跡石碑,,,10,名詞,固有名詞,地域,一般,*,*,円空上人滞洞跡石碑,*,*
関西学院大学矢野靖博君遭難の碑,,,10,名詞,固有名詞,地域,一般,*,*,関西学院大学矢野靖博君遭難の碑,*,*
幽魂碑,,,10,名詞,固有名詞,地域,一般,*,*,幽魂碑,*,*
門昌庵慰霊供養搭,,,10,名詞,固有名詞,地域,一般,*,*,門昌庵慰霊供養搭,*,*
渡島當國観音三十三番札所石柱,,,10,名詞,固有名詞,地域,一般,*,*,渡島當國観音三十三番札所石柱,*,*
門昌庵馬頭観音石碑,,,10,名詞,固有名詞,地域,一般,*,*,門昌庵馬頭観音石碑,*,*
門昌庵石灯篭,,,10,名詞,固有名詞,地域,一般,*,*,門昌庵石灯篭,*,*
門昌庵石仏地蔵三十三体,,,10,名詞,固有名詞,地域,一般,*,*,門昌庵石仏地蔵三十三体,*,*
巡査中原君紀功碑,,,10,名詞,固有名詞,地域,一般,*,*,巡査中原君紀功碑,*,*
筆塚（土谷多兵衛之墓）,,,10,名詞,固有名詞,地域,一般,*,*,筆塚（土谷多兵衛之墓）,*,*
道南霊場石碑,,,10,名詞,固有名詞,地域,一般,*,*,道南霊場石碑,*,*
柏巖禅師首塚,,,10,名詞,固有名詞,地域,一般,*,*,柏巖禅師首塚,*,*
柏巖峰樹禅師墓,,,10,名詞,固有名詞,地域,一般,*,*,柏巖峰樹禅師墓,*,*
根崎神社社号標,,,10,名詞,固有名詞,地域,一般,*,*,根崎神社社号標,*,*
根崎神社狛犬石像（１対）,,,10,名詞,固有名詞,地域,一般,*,*,根崎神社狛犬石像（１対）,*,*
法蔵寺名號石（大島噴火津波溺死者供養碑）,,,10,名詞,固有名詞,地域,一般,*,*,法蔵寺名號石（大島噴火津波溺死者供養碑）,*,*
木喰行道作日本廻国供養碑,,,10,名詞,固有名詞,地域,一般,*,*,木喰行道作日本廻国供養碑,*,*
山海漁猟供養塔,,,10,名詞,固有名詞,地域,一般,*,*,山海漁猟供養塔,*,*
雲石小学校二宮金次郎石像,,,10,名詞,固有名詞,地域,一般,*,*,雲石小学校二宮金次郎石像,*,*
雲石小学校百周年記念碑,,,10,名詞,固有名詞,地域,一般,*,*,雲石小学校百周年記念碑,*,*
関内小学校百周年記念碑,,,10,名詞,固有名詞,地域,一般,*,*,関内小学校百周年記念碑,*,*
坂口重造碑,,,10,名詞,固有名詞,地域,一般,*,*,坂口重造碑,*,*
観音寺石仏地蔵,,,10,名詞,固有名詞,地域,一般,*,*,観音寺石仏地蔵,*,*
當山中興今井光顕和尚碑,,,10,名詞,固有名詞,地域,一般,*,*,當山中興今井光顕和尚碑,*,*
関内庚申塔,,,10,名詞,固有名詞,地域,一般,*,*,関内庚申塔,*,*
駒井宇一郎先生之碑,,,10,名詞,固有名詞,地域,一般,*,*,駒井宇一郎先生之碑,*,*
猪股作蔵顕彰碑,,,10,名詞,固有名詞,地域,一般,*,*,猪股作蔵顕彰碑,*,*
扇石,,,10,名詞,固有名詞,地域,一般,*,*,扇石,*,*
ニリンソウ群生,,,10,名詞,固有名詞,地域,一般,*,*,ニリンソウ群生,*,*
エゾヤマツツジ,,,10,名詞,固有名詞,地域,一般,*,*,エゾヤマツツジ,*,*
カタクリ,,,10,名詞,固有名詞,地域,一般,*,*,カタクリ,*,*
エゾカンゾウ,,,10,名詞,固有名詞,地域,一般,*,*,エゾカンゾウ,*,*
上ノ国漁港遺跡,,,10,名詞,固有名詞,地域,一般,*,*,上ノ国漁港遺跡,*,*
中須田神社の黒松,,,10,名詞,固有名詞,地域,一般,*,*,中須田神社の黒松,*,*
番所のオンコ,,,10,名詞,固有名詞,地域,一般,*,*,番所のオンコ,*,*
甚之丞杉,,,10,名詞,固有名詞,地域,一般,*,*,甚之丞杉,*,*
ワシリ遺跡,,,10,名詞,固有名詞,地域,一般,*,*,ワシリ遺跡,*,*
文殊岩,,,10,名詞,固有名詞,地域,一般,*,*,文殊岩,*,*
大澗遺跡,,,10,名詞,固有名詞,地域,一般,*,*,大澗遺跡,*,*
北海道夜明けの塔,,,10,名詞,固有名詞,地域,一般,*,*,北海道夜明けの塔,*,*
七ッ岳小沼,,,10,名詞,固有名詞,地域,一般,*,*,七ッ岳小沼,*,*
上ノ国ダム,,,10,名詞,固有名詞,地域,一般,*,*,上ノ国ダム,*,*
大千軒岳,,,10,名詞,固有名詞,地域,一般,*,*,大千軒岳,*,*
桂沼,,,10,名詞,固有名詞,地域,一般,*,*,桂沼,*,*
七ッ岳大沼,,,10,名詞,固有名詞,地域,一般,*,*,七ッ岳大沼,*,*
七ッ岳,,,10,名詞,固有名詞,地域,一般,*,*,七ッ岳,*,*
湯ノ岱温泉湧き出し口,,,10,名詞,固有名詞,地域,一般,*,*,湯ノ岱温泉湧き出し口,*,*
クジラ岩,,,10,名詞,固有名詞,地域,一般,*,*,クジラ岩,*,*
湯ノ岱温泉,,,10,名詞,固有名詞,地域,一般,*,*,湯ノ岱温泉,*,*
ニオ積み,,,10,名詞,固有名詞,地域,一般,*,*,ニオ積み,*,*
大安在浜のスナビキソウ,,,10,名詞,固有名詞,地域,一般,*,*,大安在浜のスナビキソウ,*,*
天の川河口の砂州,,,10,名詞,固有名詞,地域,一般,*,*,天の川河口の砂州,*,*
湯の岱ブナ公園ふれあいの森,,,10,名詞,固有名詞,地域,一般,*,*,湯の岱ブナ公園ふれあいの森,*,*
湯ノ岱温泉,,,10,名詞,固有名詞,地域,一般,*,*,湯ノ岱温泉,*,*
夷王山墳墓群（勝山館跡内）,,,10,名詞,固有名詞,地域,一般,*,*,夷王山墳墓群（勝山館跡内）,*,*
重要文化財「北海道上之国勝山館跡出土品」,,,10,名詞,固有名詞,地域,一般,*,*,重要文化財「北海道上之国勝山館跡出土品」,*,*
比石館跡,,,10,名詞,固有名詞,地域,一般,*,*,比石館跡,*,*
八幡牧野の短角牛,,,10,名詞,固有名詞,地域,一般,*,*,八幡牧野の短角牛,*,*
陸軍二等軍医正七位勲六等　小池毅墓,,,10,名詞,固有名詞,地域,一般,*,*,陸軍二等軍医正七位勲六等　小池毅墓,*,*
親鸞聖人御像,,,10,名詞,固有名詞,地域,一般,*,*,親鸞聖人御像,*,*
常夜灯,,,10,名詞,固有名詞,地域,一般,*,*,常夜灯,*,*
堀川乗経師顕彰碑,,,10,名詞,固有名詞,地域,一般,*,*,堀川乗経師顕彰碑,*,*
五稜郭裏門橋碑,,,10,名詞,固有名詞,地域,一般,*,*,五稜郭裏門橋碑,*,*
阿部たつをの歌碑,,,10,名詞,固有名詞,地域,一般,*,*,阿部たつをの歌碑,*,*
ペリー提督　来航時の足跡絵図碑,,,10,名詞,固有名詞,地域,一般,*,*,ペリー提督　来航時の足跡絵図碑,*,*
明治時代のレンガ積みマンホール,,,10,名詞,固有名詞,地域,一般,*,*,明治時代のレンガ積みマンホール,*,*
明治天皇御遺蹟碑,,,10,名詞,固有名詞,地域,一般,*,*,明治天皇御遺蹟碑,*,*
明治天皇御巡幸記念碑,,,10,名詞,固有名詞,地域,一般,*,*,明治天皇御巡幸記念碑,*,*
虫塚,,,10,名詞,固有名詞,地域,一般,*,*,虫塚,*,*
函館病院再興記念碑,,,10,名詞,固有名詞,地域,一般,*,*,函館病院再興記念碑,*,*
函館港改良工事記念碑,,,10,名詞,固有名詞,地域,一般,*,*,函館港改良工事記念碑,*,*
日持上人銅像,,,10,名詞,固有名詞,地域,一般,*,*,日持上人銅像,*,*
高田屋本店跡,,,10,名詞,固有名詞,地域,一般,*,*,高田屋本店跡,*,*
高田屋嘉兵衛顕彰碑,,,10,名詞,固有名詞,地域,一般,*,*,高田屋嘉兵衛顕彰碑,*,*
古峠の庚申塚,,,10,名詞,固有名詞,地域,一般,*,*,古峠の庚申塚,*,*
旧三嶋神社のイチョウ,,,10,名詞,固有名詞,地域,一般,*,*,旧三嶋神社のイチョウ,*,*
箱館戦争勃発の地,,,10,名詞,固有名詞,地域,一般,*,*,箱館戦争勃発の地,*,*
男爵薯発祥の地,,,10,名詞,固有名詞,地域,一般,*,*,男爵薯発祥の地,*,*
飯田甚兵衛の地蔵,,,10,名詞,固有名詞,地域,一般,*,*,飯田甚兵衛の地蔵,*,*
峠下村絵図,,,10,名詞,固有名詞,地域,一般,*,*,峠下村絵図,*,*
